[ 418.0, -52.0, 0.0 ]
[ 419.0, -51.0, 0.0 ]
[ 420.0, -51.0, 0.0 ]
[ 421.0, -50.0, 0.0 ]
[ 422.0, -50.0, 0.0 ]
[ 423.0, -49.0, 0.0 ]
[ 424.0, -48.0, 0.0 ]
[ 425.0, -47.0, 0.0 ]
[ 426.0, -46.0, 0.0 ]
[ 426.0, -45.0, 0.0 ]
[ 427.0, -44.0, 0.0 ]
[ 428.0, -43.0, 0.0 ]
[ 428.0, -42.0, 0.0 ]
[ 429.0, -41.0, 0.0 ]
[ 429.0, -40.0, 0.0 ]
[ 429.0, -39.0, 0.0 ]
[ 430.0, -38.0, 0.0 ]
[ 430.0, -37.0, 0.0 ]
[ 430.0, -36.0, 0.0 ]
[ 425.0, -33.0, 0.0 ]
[ 425.0, -32.0, 0.0 ]
[ 425.0, -31.0, 0.0 ]
[ 425.0, -30.0, 0.0 ]
[ 425.0, -29.0, 0.0 ]
[ 425.0, -28.0, 0.0 ]
[ 425.0, -27.0, 0.0 ]
[ 425.0, -26.0, 0.0 ]
[ 425.0, -25.0, 0.0 ]
[ 425.0, -24.0, 0.0 ]
[ 425.0, -23.0, 0.0 ]
[ 425.0, -22.0, 0.0 ]
[ 424.0, -21.0, 0.0 ]
[ 424.0, -20.0, 0.0 ]
[ 424.0, -19.0, 0.0 ]
[ 424.0, -18.0, 0.0 ]
[ 424.0, -17.0, 0.0 ]
[ 423.0, -16.0, 0.0 ]
[ 423.0, -15.0, 0.0 ]
[ 422.0, -14.0, 0.0 ]
[ 422.0, -13.0, 0.0 ]
[ 421.0, -12.0, 0.0 ]
[ 420.0, -11.0, 0.0 ]
[ 420.0, -10.0, 0.0 ]
[ 419.0, -9.0, 0.0 ]
[ 418.0, -8.0, 0.0 ]
[ 417.0, -8.0, 0.0 ]
[ 416.0, -7.0, 0.0 ]
[ 415.0, -7.0, 0.0 ]
[ 414.0, -6.0, 0.0 ]
[ 413.0, -6.0, 0.0 ]
[ 412.0, -6.0, 0.0 ]
[ 411.0, -6.0, 0.0 ]
[ 410.0, -5.0, 0.0 ]
[ 409.0, -5.0, 0.0 ]
[ 408.0, -5.0, 0.0 ]
[ 407.0, -5.0, 0.0 ]
[ 406.0, -5.0, 0.0 ]
[ 405.0, -5.0, 0.0 ]
[ 404.0, -6.0, 0.0 ]
[ 403.0, -6.0, 0.0 ]
[ 402.0, -6.0, 0.0 ]
[ 401.0, -6.0, 0.0 ]
[ 400.0, -7.0, 0.0 ]
[ 399.0, -7.0, 0.0 ]
[ 398.0, -8.0, 0.0 ]
[ 397.0, -9.0, 0.0 ]
[ 396.0, -10.0, 0.0 ]
[ 395.0, -11.0, 0.0 ]
[ 394.0, -12.0, 0.0 ]
[ 394.0, -13.0, 0.0 ]
[ 393.0, -14.0, 0.0 ]
[ 393.0, -15.0, 0.0 ]
[ 392.0, -16.0, 0.0 ]
[ 392.0, -17.0, 0.0 ]
[ 392.0, -18.0, 0.0 ]
[ 391.0, -19.0, 0.0 ]
[ 391.0, -20.0, 0.0 ]
[ 391.0, -21.0, 0.0 ]
[ 391.0, -22.0, 0.0 ]
[ 391.0, -23.0, 0.0 ]
[ 391.0, -24.0, 0.0 ]
[ 391.0, -25.0, 0.0 ]
[ 391.0, -26.0, 0.0 ]
[ 391.0, -27.0, 0.0 ]
[ 391.0, -28.0, 0.0 ]
[ 391.0, -29.0, 0.0 ]
[ 391.0, -30.0, 0.0 ]
