[ 349.0, -1.0, 0.0 ]
[ 350.0, -1.0, 0.0 ]
[ 351.0, -1.0, 0.0 ]
[ 352.0, -1.0, 0.0 ]
[ 353.0, -1.0, 0.0 ]
[ 353.0, -2.0, 0.0 ]
[ 353.0, -3.0, 0.0 ]
[ 354.0, -4.0, 0.0 ]
[ 354.0, -5.0, 0.0 ]
[ 354.0, -6.0, 0.0 ]
[ 355.0, -7.0, 0.0 ]
[ 355.0, -8.0, 0.0 ]
[ 355.0, -9.0, 0.0 ]
[ 356.0, -10.0, 0.0 ]
[ 356.0, -11.0, 0.0 ]
[ 356.0, -12.0, 0.0 ]
[ 357.0, -13.0, 0.0 ]
[ 357.0, -14.0, 0.0 ]
[ 357.0, -15.0, 0.0 ]
[ 357.0, -16.0, 0.0 ]
[ 358.0, -17.0, 0.0 ]
[ 358.0, -18.0, 0.0 ]
[ 358.0, -19.0, 0.0 ]
[ 359.0, -20.0, 0.0 ]
[ 359.0, -21.0, 0.0 ]
[ 359.0, -22.0, 0.0 ]
[ 360.0, -23.0, 0.0 ]
[ 360.0, -24.0, 0.0 ]
[ 360.0, -25.0, 0.0 ]
[ 361.0, -26.0, 0.0 ]
[ 361.0, -27.0, 0.0 ]
[ 361.0, -28.0, 0.0 ]
[ 362.0, -29.0, 0.0 ]
[ 362.0, -30.0, 0.0 ]
[ 362.0, -31.0, 0.0 ]
[ 363.0, -32.0, 0.0 ]
[ 363.0, -33.0, 0.0 ]
[ 363.0, -34.0, 0.0 ]
[ 364.0, -35.0, 0.0 ]
[ 364.0, -36.0, 0.0 ]
[ 364.0, -37.0, 0.0 ]
[ 364.0, -38.0, 0.0 ]
[ 365.0, -39.0, 0.0 ]
[ 365.0, -40.0, 0.0 ]
[ 365.0, -41.0, 0.0 ]
[ 365.0, -42.0, 0.0 ]
[ 366.0, -43.0, 0.0 ]
[ 366.0, -44.0, 0.0 ]
[ 366.0, -45.0, 0.0 ]
[ 367.0, -46.0, 0.0 ]
[ 368.0, -46.0, 0.0 ]
[ 369.0, -45.0, 0.0 ]
[ 369.0, -44.0, 0.0 ]
[ 369.0, -43.0, 0.0 ]
[ 369.0, -42.0, 0.0 ]
[ 370.0, -41.0, 0.0 ]
[ 370.0, -40.0, 0.0 ]
[ 370.0, -39.0, 0.0 ]
[ 370.0, -38.0, 0.0 ]
[ 371.0, -37.0, 0.0 ]
[ 371.0, -36.0, 0.0 ]
[ 371.0, -35.0, 0.0 ]
[ 371.0, -34.0, 0.0 ]
[ 372.0, -33.0, 0.0 ]
[ 372.0, -32.0, 0.0 ]
[ 372.0, -31.0, 0.0 ]
[ 373.0, -30.0, 0.0 ]
[ 373.0, -29.0, 0.0 ]
[ 373.0, -28.0, 0.0 ]
[ 374.0, -27.0, 0.0 ]
[ 374.0, -26.0, 0.0 ]
[ 374.0, -25.0, 0.0 ]
[ 375.0, -24.0, 0.0 ]
[ 375.0, -23.0, 0.0 ]
[ 375.0, -22.0, 0.0 ]
[ 375.0, -21.0, 0.0 ]
[ 376.0, -20.0, 0.0 ]
[ 376.0, -19.0, 0.0 ]
[ 376.0, -18.0, 0.0 ]
[ 377.0, -17.0, 0.0 ]
[ 377.0, -16.0, 0.0 ]
[ 377.0, -15.0, 0.0 ]
[ 378.0, -14.0, 0.0 ]
[ 378.0, -13.0, 0.0 ]
[ 378.0, -12.0, 0.0 ]
[ 379.0, -11.0, 0.0 ]
[ 379.0, -10.0, 0.0 ]
[ 379.0, -9.0, 0.0 ]
[ 380.0, -8.0, 0.0 ]
[ 380.0, -7.0, 0.0 ]
[ 380.0, -6.0, 0.0 ]
[ 380.0, -5.0, 0.0 ]
[ 381.0, -4.0, 0.0 ]
[ 381.0, -3.0, 0.0 ]
[ 381.0, -2.0, 0.0 ]
[ 382.0, -1.0, 0.0 ]
[ 383.0, -1.0, 0.0 ]
[ 384.0, -1.0, 0.0 ]
[ 385.0, -1.0, 0.0 ]
[ 386.0, -1.0, 0.0 ]
[ 387.0, -1.0, 0.0 ]
[ 388.0, -1.0, 0.0 ]
[ 389.0, -1.0, 0.0 ]
[ 390.0, -2.0, 0.0 ]
[ 390.0, -3.0, 0.0 ]
[ 390.0, -4.0, 0.0 ]
[ 391.0, -5.0, 0.0 ]
[ 391.0, -6.0, 0.0 ]
[ 391.0, -7.0, 0.0 ]
[ 391.0, -8.0, 0.0 ]
[ 392.0, -9.0, 0.0 ]
[ 392.0, -10.0, 0.0 ]
[ 392.0, -11.0, 0.0 ]
[ 393.0, -12.0, 0.0 ]
[ 393.0, -13.0, 0.0 ]
[ 393.0, -14.0, 0.0 ]
[ 393.0, -15.0, 0.0 ]
[ 394.0, -16.0, 0.0 ]
[ 394.0, -17.0, 0.0 ]
[ 394.0, -18.0, 0.0 ]
[ 394.0, -19.0, 0.0 ]
[ 395.0, -20.0, 0.0 ]
[ 395.0, -21.0, 0.0 ]
[ 395.0, -22.0, 0.0 ]
[ 396.0, -23.0, 0.0 ]
[ 396.0, -24.0, 0.0 ]
[ 396.0, -25.0, 0.0 ]
[ 396.0, -26.0, 0.0 ]
[ 397.0, -27.0, 0.0 ]
[ 397.0, -28.0, 0.0 ]
