[ 267.0, -66.0, 0.0 ]
[ 266.0, -66.0, 0.0 ]
[ 265.0, -66.0, 0.0 ]
[ 264.0, -66.0, 0.0 ]
[ 263.0, -65.0, 0.0 ]
[ 262.0, -65.0, 0.0 ]
[ 261.0, -65.0, 0.0 ]
[ 260.0, -64.0, 0.0 ]
[ 259.0, -64.0, 0.0 ]
[ 258.0, -63.0, 0.0 ]
[ 257.0, -63.0, 0.0 ]
[ 256.0, -62.0, 0.0 ]
[ 255.0, -61.0, 0.0 ]
[ 254.0, -60.0, 0.0 ]
[ 253.0, -59.0, 0.0 ]
[ 252.0, -58.0, 0.0 ]
[ 252.0, -57.0, 0.0 ]
[ 251.0, -56.0, 0.0 ]
[ 250.0, -55.0, 0.0 ]
[ 250.0, -54.0, 0.0 ]
[ 249.0, -53.0, 0.0 ]
[ 249.0, -52.0, 0.0 ]
[ 249.0, -51.0, 0.0 ]
[ 248.0, -50.0, 0.0 ]
[ 248.0, -49.0, 0.0 ]
[ 248.0, -48.0, 0.0 ]
[ 247.0, -47.0, 0.0 ]
[ 247.0, -46.0, 0.0 ]
[ 247.0, -45.0, 0.0 ]
[ 247.0, -44.0, 0.0 ]
[ 247.0, -43.0, 0.0 ]
[ 247.0, -42.0, 0.0 ]
[ 247.0, -41.0, 0.0 ]
[ 246.0, -40.0, 0.0 ]
[ 246.0, -39.0, 0.0 ]
[ 246.0, -38.0, 0.0 ]
[ 246.0, -37.0, 0.0 ]
[ 246.0, -36.0, 0.0 ]
[ 246.0, -35.0, 0.0 ]
[ 246.0, -34.0, 0.0 ]
[ 246.0, -33.0, 0.0 ]
[ 247.0, -32.0, 0.0 ]
[ 247.0, -31.0, 0.0 ]
[ 247.0, -30.0, 0.0 ]
[ 247.0, -29.0, 0.0 ]
[ 247.0, -28.0, 0.0 ]
[ 247.0, -27.0, 0.0 ]
[ 247.0, -26.0, 0.0 ]
[ 247.0, -25.0, 0.0 ]
[ 248.0, -24.0, 0.0 ]
[ 248.0, -23.0, 0.0 ]
[ 248.0, -22.0, 0.0 ]
[ 249.0, -21.0, 0.0 ]
[ 249.0, -20.0, 0.0 ]
[ 249.0, -19.0, 0.0 ]
[ 250.0, -18.0, 0.0 ]
[ 250.0, -17.0, 0.0 ]
[ 251.0, -16.0, 0.0 ]
[ 252.0, -15.0, 0.0 ]
[ 253.0, -14.0, 0.0 ]
[ 253.0, -13.0, 0.0 ]
[ 254.0, -12.0, 0.0 ]
[ 255.0, -11.0, 0.0 ]
[ 256.0, -11.0, 0.0 ]
[ 257.0, -10.0, 0.0 ]
[ 258.0, -9.0, 0.0 ]
[ 259.0, -9.0, 0.0 ]
[ 260.0, -8.0, 0.0 ]
[ 261.0, -8.0, 0.0 ]
[ 262.0, -7.0, 0.0 ]
[ 263.0, -7.0, 0.0 ]
[ 264.0, -7.0, 0.0 ]
[ 265.0, -6.0, 0.0 ]
[ 266.0, -6.0, 0.0 ]
[ 267.0, -6.0, 0.0 ]
[ 268.0, -6.0, 0.0 ]
[ 269.0, -6.0, 0.0 ]
[ 270.0, -6.0, 0.0 ]
[ 271.0, -6.0, 0.0 ]
[ 272.0, -6.0, 0.0 ]
[ 273.0, -6.0, 0.0 ]
[ 274.0, -6.0, 0.0 ]
