[ 303.0, -91.0, 0.0 ]
[ 302.0, -92.0, 0.0 ]
[ 301.0, -93.0, 0.0 ]
[ 300.0, -94.0, 0.0 ]
[ 300.0, -95.0, 0.0 ]
[ 299.0, -96.0, 0.0 ]
[ 298.0, -97.0, 0.0 ]
[ 297.0, -97.0, 0.0 ]
[ 296.0, -98.0, 0.0 ]
[ 295.0, -99.0, 0.0 ]
[ 294.0, -99.0, 0.0 ]
[ 293.0, -99.0, 0.0 ]
[ 292.0, -99.0, 0.0 ]
[ 291.0, -99.0, 0.0 ]
[ 290.0, -99.0, 0.0 ]
